"StartTime","Dur","Proto","SrcAddr","Sport","Dir","DstAddr","Dport","State","sTos","dTos","TotPkts","TotBytes","SrcBytes","Label"
"2011/08/15 16:51:18.749606",0.000616,"udp","151.75.186.209","16991","<->","147.32.84.229","13363","CON",0,0,2,311,64,"flow=Background-UDP-Established"
"2011/08/15 16:52:34.438064",0.000178,"udp","147.32.85.89","39855","<->","147.32.80.9","53","CON",0,0,2,204,77,"flow=To-Background-UDP-CVUT-DNS-Server"
"2011/08/15 16:45:15.294434",1309.815552,"udp","147.32.84.229","13363","<->","68.190.2.112","27307","CON",0,0,8,535,282,"flow=Background-UDP-Established"
"2011/08/15 17:08:07.656484",0.319519,"tcp","147.32.84.118","3476","->","2.95.93.24","6881","SRPA_FSRPA",0,0,11,1081,572,"flow=Background-TCP-Established"
"2011/08/15 16:52:28.738022",0.21727,"udp","147.32.84.59","41648","<->","147.32.80.9","53","CON",0,0,2,209,76,"flow=To-Background-UDP-CVUT-DNS-Server"
"2011/08/15 16:51:09.179624",0.000415,"udp","147.32.84.171","43404","<->","147.32.80.9","53","CON",0,0,2,238,94,"flow=To-Background-UDP-CVUT-DNS-Server"
"2011/08/15 16:47:25.366725",1438.067749,"udp","147.32.86.186","1643","<->","62.99.40.49","50129","CON",0,0,8,938,690,"flow=Background-UDP-Established"
"2011/08/15 17:00:53.328534",0.760954,"tcp","147.32.84.118","3029","->","67.45.38.145","6881","SPA_SRA",0,0,6,424,244,"flow=Background-TCP-Established"
"2011/08/15 16:52:48.233155",0.045513,"tcp","147.251.13.2","50907","->","147.32.84.130","80","FSPA_FSPA",0,0,18,11375,1361,"flow=Background-TCP-Established"
"2011/08/15 16:55:36.462337",643.851135,"udp","87.118.142.225","10528","<->","147.32.84.229","13363","CON",0,0,4,488,364,"flow=Background-UDP-Established"
"2011/08/15 16:55:47.420244",2.256508,"tcp","66.249.66.119","51053","->","147.32.84.188","80","FSPA_FSPA",0,0,12,3093,816,"flow=Background-TCP-Established"
"2011/08/15 17:01:24.559267",0.000374,"udp","147.32.84.164","56684","<->","147.32.80.9","53","CON",0,0,2,206,75,"flow=From-Normal-V46-Grill"
"2011/08/15 16:43:32.470957",1290.050293,"tcp","147.32.84.118","53310","<?>","212.161.8.3","12350","FPA_FPA",0,0,45,2700,1800,"flow=Background"
